Rank,followers,username,fid
385,26407,sartoshi,244902
386,26400,tervo,5034
387,26322,sum,5860
388,26144,monad,282172
389,25897,jvmi,196199
390,25893,matthewb,4895
391,25856,jihad,114
392,25841,king,6596
393,25700,jxom,6143
394,25564,highlight,190075
395,25422,uniswap,212722
396,25289,stevedylandev,6023
397,25281,henri,59
398,25108,poster,20111
399,24960,0g-labs,950760
400,24953,karbonbased,343622
401,24923,mjc716,11599
402,24824,plastician,415248
403,24454,m00npapi.eth,9933
404,24133,thedude,13874
405,23792,iceberg,4483
406,23778,skrrt-base.eth,386793
407,23727,markcarey,8685
408,23725,ahuang,878
409,23613,farlegacy,1015309
410,23586,to,8942
411,23556,enjoytech.eth,368835
412,23413,shawmakesmagic,899923
413,23067,kevinmfer,436577
414,23044,khadijaali123,447233
415,23022,xenbh.eth,11510
416,22998,jess,139
417,22940,wagmi1337.eth,409781
418,22923,trupty,347050
419,22903,matchaxyz,17114
420,22861,warpcast,9152
421,22827,peter,577
422,22681,burr.eth,311933
423,22677,casterchain.eth,332281
424,22611,austin,110
425,22566,lambchop,395346
426,22534,virtualsprotocol.eth,399807
427,22521,links,18586
428,22470,0xmert,17316
429,22197,mistershot,211693
430,22186,push-,403020
431,22155,pods,13875
432,22113,rugdotfun,476882
433,21929,plazafinance,894402
434,21912,mikkolagerstedt,302556
435,21904,riotgoools,7258
436,21750,tomu,1668
437,21666,pauline-unik,193826
438,21639,surgelabs,1467344
439,21626,yes2crypto.eth,214447
440,21568,casteragents,1020116
441,21517,setya,18069
442,21502,debbie,1628
443,21448,noiceapp,1058691
444,21365,backseats,3095
445,21033,tonyminh,263574
446,20951,alexmack,249332
447,20803,primenode.eth,421661
448,20763,claireujma,15776
449,20656,m--,16333
450,20590,rjs,426045
451,20445,hotdao,639787
452,20359,reneecampbell,283144
453,20332,beefy,23441
454,20322,macedo,8446
455,20309,celo,3430
456,20301,gigabraingalaxy.eth,1049801
457,20290,jpfraneto.eth,16098
458,20283,shl0ms,3174
459,20206,gig,315256
460,20034,eggman.eth,310124
461,20011,purp,14364
462,19918,threadguy,244349
463,19901,tricil.eth,4294
464,19672,farlaunch,259196
465,19661,reallyryl,236581
466,19539,199.eth,245388
467,19504,partydao,20928
468,19328,superfluid,315653
469,19271,dankrad,7318
470,19238,ds8,11124
471,19237,,250874
472,19184,geoffgolberg,4528
473,19179,dish,15549
474,19041,compusophy,350911
475,19041,chuckstock,16405
476,19012,entropybender,13659
477,18988,derek,193
478,18984,missangel,19105
479,18949,bay-photography,337090
480,18931,towerecosystem,397971
481,18887,inceptionally,283056
482,18763,jachian,5494
483,18700,gmoney.eth,9410
484,18684,cobie,264700
485,18666,sartocrates,248216
486,18613,warpletmutants.eth,371274
487,18532,dcinvestor,211272
488,18529,zafgod,270684
489,18510,ethan666,210628
490,18295,puffdood.eth,242661
491,18238,itsjust4cubes.eth,237884
492,18204,ownthedoge,269169
493,18188,neynar,6131
494,18175,solana,295879
495,18167,articuno.eth,7452
496,18022,fuckcoolpussy.eth,409573
497,18009,sgniwder,245124
498,17999,kyb,284063
499,17989,timetree,508049
500,17949,vlady,239748
501,17936,3lau,81
502,17838,degenpad,434908
503,17792,mattlee,6591
504,17786,beamr,1149437
505,17746,wowbase,329883
506,17739,hafeez,459311
507,17715,farhouse,490435
508,17702,saxenasaheb,4753
509,17674,ashmoney.eth,12938
510,17640,cryptorubic,513499
511,17637,acrossprotocol,321200
512,17631,coinbase,21773
513,17595,thebarcode,1483481
514,17514,boldleonidas,226538
515,17467,srijan.eth,377
516,17420,brixbounty,18723
517,17356,inflynce,1046430
518,17338,xcopy.eth,16183
519,17324,hnwcrypto.eth,402888
520,17318,saba800,499956
521,17293,randomerror.eth,784003
522,17265,symbiotech,4567
523,17212,farcastercoin,345923
524,17210,maschka,3362
525,17203,taikoxyz,289784
526,17155,liveart,295781
527,16993,dailofrog,218952
528,16992,luc,4013
529,16842,chainvirus,290132
530,16819,4484.eth,2420
531,16783,farcasterranking,339515
532,16776,haole,3346
533,16727,based-karma.eth,1353274
534,16700,rubinovitz,2112
535,16676,zd,296
536,16626,soarez.eth,211832
537,16541,a16zcrypto,1786
538,16533,funghibull,6111
539,16524,bixbite,20147
540,16489,blablainvest,7941
541,16425,imagineinfra,381068
542,16398,0xsmallbrain,16831
543,16273,phaverapp,236812
544,16249,lampphotography,12626
545,16249,nicolasdavis,327165
546,16243,farbase,274138
547,16108,mocareward.eth,10996
548,16019,moxie-app.eth,396869
549,16018,darkoh.eth,248111
550,15922,angelikakollin,326040
551,15872,commstark,2211
552,15843,dabit3,235510
553,15807,procoin,1093494
554,15767,streetphoto,5713
555,15750,wlist,557773
556,15730,clfx.eth,263333
557,15654,popfi,1106422
558,15555,degentip,234434
559,15525,jonathancolton,296687
560,15516,metamask,222464
561,15513,futurefae,4440
562,15437,mhk92,472896
563,15326,hind,285998
564,15281,aaronv.eth,354795
565,15272,letdegen,406863
566,15266,fxhash,227062
567,15217,joellelb,278406
568,15217,fffflood,237973
569,15216,thepapercrane,249958
570,15207,wbnns,12144
571,15141,snickerdoodle,381100
572,15125,nutellacrepe.eth,408746
573,15120,nftart,202681
574,15100,qrcoindotfun,1041585
575,15076,moxie.eth,565051
576,15076,b3dotfun,652493
577,15075,oku,20176
578,15025,avantisfinance,373885
579,14976,superseed,315951
580,14958,iashish.eth,305843
581,14880,ed1t,396659
582,14874,triumph,1180
583,14873,annoushka.eth,2736
584,14806,runn3rr,18763
585,14784,w,142
586,14761,betrmint,1047658
587,14747,nomadicframe,309710
588,14740,tanishq,2341
589,14704,mvr,230238
590,14663,sidshekhar,18407
591,14603,kaufman,1015455
592,14600,anemale.eth,281676
593,14600,ghcryptoguy,254512
594,14580,rafaello12,391793
595,14556,0xanas.eth,249702
596,14543,nt,3237
597,14538,wellzy,292506
598,14488,brydeadhead.eth,193158
599,14481,blackstock,294226
600,14454,alinaferry,282672
601,14426,animocabrands,20805
602,14354,hollins,3882
603,14345,arob1000,440747
604,14333,yar0x,8481
605,14328,whateveruser,521663
606,14319,yekim,260
607,14263,strano,278239
608,14250,john,913
609,14191,kunalvg,4914
610,14159,destiner.eth,7963
611,14118,superbuu.eth,412843
612,14106,bankr,886870
613,14081,chicbangs.eth,5328
614,14078,plumenetwork,232448
615,14053,nimaleophotos.eth,448502
616,14046,chsh.eth,1303
617,14032,ako1988,397392
618,14027,jc4p,977233
619,14027,8386,398688
620,14016,jina,478906
621,13947,justbuild,414955
622,13922,thales,324452
623,13865,jessyjeanne,12921
624,13821,chii-ka,516028
625,13789,deriniti,309242
626,13765,trillobyte,340986
627,13740,elesel.eth,4790
628,13736,segall,922
629,13711,gregfromstl,7657
630,13675,bfg,11244
631,13661,bryanjohnson,330642
632,13641,cryptoteluguo,345284
633,13615,mbranson,12738
634,13581,project7,8106
635,13578,kia.eth,12256
636,13565,stackdotso,417119
637,13565,sleepypenguin.eth,403090
638,13532,ethereumdaily.eth,21417
639,13407,tn100x.eth,320215
640,13403,oxb,20286
641,13388,swim,268455
642,13365,super,193137
643,13341,bertwurst.eth,864405
644,13332,packy,57
645,13323,minchow,423255
646,13260,nickyboost,328041
647,13205,jethid,12309
648,13158,basewtf,299853
649,13149,teaprotocol,319118
650,13136,qqsksk12,379750
